epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss,val_loss
,0.0001,0,,,,
0,,0,2.622652053833008,6.468500137329102,3.8458480834960938,
,0.0001,1,,,,
0,,1,2.303926467895508,5.8700103759765625,3.5660836696624756,
,0.0001,2,,,,
0,,2,2.006230354309082,5.32875919342041,3.322528600692749,
,0.0001,3,,,,
0,,3,1.72853422164917,4.796363830566406,3.0678298473358154,
,0.0001,4,,,,
0,,4,1.4702866077423096,4.302833080291748,2.8325464725494385,
,0.0001,5,,,,
0,,5,1.2547671794891357,3.8506393432617188,2.595872163772583,
0,,5,,,,3.4348182678222656
,9.997557473810373e-05,6,,,,
1,,6,1.046698808670044,3.4314184188842773,2.3847196102142334,
,9.997557473810373e-05,7,,,,
1,,7,0.9090877771377563,3.1281065940856934,2.2190186977386475,
,9.997557473810373e-05,8,,,,
1,,8,0.7705935835838318,2.8265538215637207,2.055960178375244,
,9.997557473810373e-05,9,,,,
1,,9,0.6666825413703918,2.5750796794891357,1.9083971977233887,
,9.997557473810373e-05,10,,,,
1,,10,0.5740387439727783,2.3621907234191895,1.7881519794464111,
,9.997557473810373e-05,11,,,,
1,,11,0.48977017402648926,2.167923927307129,1.6781538724899292,
1,,11,,,,2.007650375366211
,9.990232305719946e-05,12,,,,
2,,12,0.4359889030456543,2.025139093399048,1.5891501903533936,
,9.990232305719946e-05,13,,,,
2,,13,0.3845454752445221,1.892322063446045,1.5077766180038452,
,9.990232305719946e-05,14,,,,
2,,14,0.3434261679649353,1.7891571521759033,1.4457309246063232,
,9.990232305719946e-05,15,,,,
2,,15,0.3200518488883972,1.711388111114502,1.3913363218307495,
,9.990232305719946e-05,16,,,,
2,,16,0.2859736680984497,1.6339136362075806,1.3479399681091309,
,9.990232305719946e-05,17,,,,
2,,17,0.26102936267852783,1.5757280588150024,1.3146986961364746,
2,,17,,,,1.4945241212844849
,9.978031724785248e-05,18,,,,
3,,18,0.238570436835289,1.5008440017700195,1.2622735500335693,
,9.978031724785248e-05,19,,,,
3,,19,0.22192324697971344,1.4605803489685059,1.2386571168899536,
,9.978031724785248e-05,20,,,,
3,,20,0.20611117780208588,1.421857476234436,1.215746283531189,
,9.978031724785248e-05,21,,,,
3,,21,0.20626455545425415,1.393927812576294,1.1876633167266846,
,9.978031724785248e-05,22,,,,
3,,22,0.18175776302814484,1.3462532758712769,1.1644954681396484,
,9.978031724785248e-05,23,,,,
3,,23,0.17395806312561035,1.3149478435516357,1.1409897804260254,
3,,23,,,,1.274356484413147
,9.960967771506668e-05,24,,,,
4,,24,0.16438670456409454,1.2869560718536377,1.1225693225860596,
,9.960967771506668e-05,25,,,,
4,,25,0.1562504768371582,1.2597041130065918,1.1034536361694336,
,9.960967771506668e-05,26,,,,
4,,26,0.15995319187641144,1.2507299184799194,1.0907766819000244,
,9.960967771506668e-05,27,,,,
4,,27,0.14074434340000153,1.2190054655075073,1.078261137008667,
,9.960967771506668e-05,28,,,,
4,,28,0.1343136429786682,1.1928675174713135,1.0585538148880005,
,9.960967771506668e-05,29,,,,
4,,29,0.13072417676448822,1.1780792474746704,1.047355055809021,
4,,29,,,,1.1542370319366455
,9.939057285945934e-05,30,,,,
5,,30,0.12432432919740677,1.1583890914916992,1.034064769744873,
,9.939057285945934e-05,31,,,,
5,,31,0.12292101979255676,1.149463176727295,1.0265421867370605,
,9.939057285945934e-05,32,,,,
5,,32,0.11763393878936768,1.13843834400177,1.0208044052124023,
,9.939057285945934e-05,33,,,,
5,,33,0.12422394752502441,1.1383469104766846,1.0141229629516602,
,9.939057285945934e-05,34,,,,
5,,34,0.1113971546292305,1.1220513582229614,1.0106542110443115,
,9.939057285945934e-05,35,,,,
5,,35,0.10853683203458786,1.106555700302124,0.9980188608169556,
5,,35,,,,1.0892399549484253
,9.912321891107012e-05,36,,,,
6,,36,0.10472196340560913,1.105407953262329,1.0006859302520752,
,9.912321891107012e-05,37,,,,
6,,37,0.10199529677629471,1.0979828834533691,0.9959875345230103,
,9.912321891107012e-05,38,,,,
6,,38,0.11083351820707321,1.0935132503509521,0.9826797246932983,
,9.912321891107012e-05,39,,,,
6,,39,0.09701559692621231,1.0786139965057373,0.981598436832428,
,9.912321891107012e-05,40,,,,
6,,40,0.09843506664037704,1.0822174549102783,0.9837824106216431,
,9.912321891107012e-05,41,,,,
6,,41,0.09106772392988205,1.0632678270339966,0.9722001552581787,
